id	page_id	batch_id	ocr_text_path	ocr_xml_path	ocr_completed	juxta_change_index	alt_change_index	noisiness_idx
2272692	2325184	1034	/data/shared/text-xml/IDHMC-ocr/324/324442/1034/111.txt	/data/shared/text-xml/IDHMC-ocr/324/324442/1034/111.xml	2014-12-14 14:16:39	0.820	0.671	NULL
2272696	18635839	1034	/data/shared/text-xml/IDHMC-ocr/285/285017/1034/7.txt	/data/shared/text-xml/IDHMC-ocr/285/285017/1034/7.xml	2014-12-14 14:16:43	0.949	0.887	NULL
2272698	2325166	1034	/data/shared/text-xml/IDHMC-ocr/324/324442/1034/93.txt	/data/shared/text-xml/IDHMC-ocr/324/324442/1034/93.xml	2014-12-14 14:16:46	0.849	0.745	NULL
2272700	2350138	1034	/data/shared/text-xml/IDHMC-ocr/347/347385/1034/24.txt	/data/shared/text-xml/IDHMC-ocr/347/347385/1034/24.xml	2014-12-14 14:16:46	0.727	0.532	NULL
2272701	2350157	1034	/data/shared/text-xml/IDHMC-ocr/347/347385/1034/43.txt	/data/shared/text-xml/IDHMC-ocr/347/347385/1034/43.xml	2014-12-14 14:16:46	0.859	0.726	NULL
2272703	2350119	1034	/data/shared/text-xml/IDHMC-ocr/347/347385/1034/5.txt	/data/shared/text-xml/IDHMC-ocr/347/347385/1034/5.xml	2014-12-14 14:16:47	0.649	0.497	NULL
2272706	2188550	1034	/data/shared/text-xml/IDHMC-ocr/156/155678/1034/7.txt	/data/shared/text-xml/IDHMC-ocr/156/155678/1034/7.xml	2014-12-14 14:16:50	0.896	0.796	NULL
2272707	2325109	1034	/data/shared/text-xml/IDHMC-ocr/324/324442/1034/36.txt	/data/shared/text-xml/IDHMC-ocr/324/324442/1034/36.xml	2014-12-14 14:16:50	0.771	0.605	NULL
2272710	2325128	1034	/data/shared/text-xml/IDHMC-ocr/324/324442/1034/55.txt	/data/shared/text-xml/IDHMC-ocr/324/324442/1034/55.xml	2014-12-14 14:16:52	0.864	0.784	NULL
2272717	2345487	1034	/data/shared/text-xml/IDHMC-ocr/341/340961/1034/11.txt	/data/shared/text-xml/IDHMC-ocr/341/340961/1034/11.xml	2014-12-14 14:17:00	0.684	0.475	NULL
2272719	2325203	1034	/data/shared/text-xml/IDHMC-ocr/324/324442/1034/130.txt	/data/shared/text-xml/IDHMC-ocr/324/324442/1034/130.xml	2014-12-14 14:17:00	0.626	0.491	NULL
2272721	2350137	1034	/data/shared/text-xml/IDHMC-ocr/347/347385/1034/23.txt	/data/shared/text-xml/IDHMC-ocr/347/347385/1034/23.xml	2014-12-14 14:17:01	0.886	0.803	NULL
2272723	2350156	1034	/data/shared/text-xml/IDHMC-ocr/347/347385/1034/42.txt	/data/shared/text-xml/IDHMC-ocr/347/347385/1034/42.xml	2014-12-14 14:17:03	0.774	0.671	NULL
2272729	2325183	1034	/data/shared/text-xml/IDHMC-ocr/324/324442/1034/110.txt	/data/shared/text-xml/IDHMC-ocr/324/324442/1034/110.xml	2014-12-14 14:17:08	0.819	0.634	NULL
2272734	2325165	1034	/data/shared/text-xml/IDHMC-ocr/324/324442/1034/92.txt	/data/shared/text-xml/IDHMC-ocr/324/324442/1034/92.xml	2014-12-14 14:17:11	0.843	0.699	NULL
2272735	2350118	1034	/data/shared/text-xml/IDHMC-ocr/347/347385/1034/4.txt	/data/shared/text-xml/IDHMC-ocr/347/347385/1034/4.xml	2014-12-14 14:17:11	0.569	0.411	NULL
2272737	2325145	1034	/data/shared/text-xml/IDHMC-ocr/324/324442/1034/72.txt	/data/shared/text-xml/IDHMC-ocr/324/324442/1034/72.xml	2014-12-14 14:17:12	0.736	0.540	NULL
2272742	2325089	1034	/data/shared/text-xml/IDHMC-ocr/324/324442/1034/16.txt	/data/shared/text-xml/IDHMC-ocr/324/324442/1034/16.xml	2014-12-14 14:17:15	0.598	0.308	NULL
2272746	2350155	1034	/data/shared/text-xml/IDHMC-ocr/347/347385/1034/41.txt	/data/shared/text-xml/IDHMC-ocr/347/347385/1034/41.xml	2014-12-14 14:17:18	0.790	0.614	NULL
2272750	2325127	1034	/data/shared/text-xml/IDHMC-ocr/324/324442/1034/54.txt	/data/shared/text-xml/IDHMC-ocr/324/324442/1034/54.xml	2014-12-14 14:17:21	0.784	0.543	NULL
2272751	2345486	1034	/data/shared/text-xml/IDHMC-ocr/341/340961/1034/10.txt	/data/shared/text-xml/IDHMC-ocr/341/340961/1034/10.xml	2014-12-14 14:17:22	0.801	0.633	NULL
2272752	2350136	1034	/data/shared/text-xml/IDHMC-ocr/347/347385/1034/22.txt	/data/shared/text-xml/IDHMC-ocr/347/347385/1034/22.xml	2014-12-14 14:17:22	0.553	0.487	NULL
2272758	2325108	1034	/data/shared/text-xml/IDHMC-ocr/324/324442/1034/35.txt	/data/shared/text-xml/IDHMC-ocr/324/324442/1034/35.xml	2014-12-14 14:17:26	0.887	0.814	NULL
2272761	2325182	1034	/data/shared/text-xml/IDHMC-ocr/324/324442/1034/109.txt	/data/shared/text-xml/IDHMC-ocr/324/324442/1034/109.xml	2014-12-14 14:17:31	0.824	0.663	NULL
2272762	2325202	1034	/data/shared/text-xml/IDHMC-ocr/324/324442/1034/129.txt	/data/shared/text-xml/IDHMC-ocr/324/324442/1034/129.xml	2014-12-14 14:17:32	0.645	0.536	NULL
